PM,  X,  Y
      39.0000000,        634215.000000,       3370129.000000
      39.0000000,        634167.891872,       3370129.000000
      39.0000000,        634150.988739,       3370104.000000
      39.0000000,        634135.726212,       3370079.000000
      39.0000000,        634121.925049,       3370054.000000
      39.0000000,        634109.290634,       3370029.000000
      39.0000000,        634097.553207,       3370004.000000
      39.0000000,        634086.551361,       3369979.000000
      39.0000000,        634076.291229,       3369954.000000
      39.0000000,        634066.676117,       3369929.000000
      39.0000000,        634057.669174,       3369903.999985
      39.0000000,        634049.485321,       3369879.000000
      39.0000000,        634041.943634,       3369854.000000
      39.0000000,        634035.208801,       3369829.000000
      39.0000000,        634028.997345,       3369803.999969
      39.0000000,        634023.499634,       3369779.000000
      39.0000000,        634018.500000,       3369754.000000
      39.0000000,        634014.536835,       3369729.000000
      39.0000000,        634011.150818,       3369704.000000
      39.0000000,        634007.995270,       3369678.999969
      39.0000000,        634005.574005,       3369654.000000
      39.0000000,        634004.397522,       3369629.000000
      39.0000000,        634004.182877,       3369603.999939
      39.0000000,        634003.986084,       3369579.000000
      39.0000000,        634004.272552,       3369554.000000
      39.0000000,        634005.510361,       3369529.000000
      39.0000000,        634007.229950,       3369504.000000
      39.0000000,        634009.435303,       3369478.999939
      39.0000000,        634011.678116,       3369454.000000
      39.0000000,        634015.338181,       3369429.000000
      39.0000000,        634019.064575,       3369404.000000
      39.0000000,        634023.334015,       3369379.000000
      39.0000000,        634028.593536,       3369353.999939
      39.0000000,        634034.418777,       3369329.000000
      39.0000000,        634040.821350,       3369304.000000
      39.0000000,        634048.572525,       3369279.000000
      39.0000000,        634056.828003,       3369254.000000
      39.0000000,        634065.558960,       3369228.999939
      39.0000000,        634074.736847,       3369204.000000
      39.0000000,        634085.603729,       3369179.000000
      39.0000000,        634095.582336,       3369154.000000
      39.0000000,        634107.172165,       3369129.000000
      39.0000000,        634121.246262,       3369104.000000
      39.0000000,        634135.779526,       3369078.999878
      39.0000000,        634154.437248,       3369054.000000
      39.0000000,        634181.815136,       3369029.000000
      39.0000000,        634215.000000,       3369016.537109
      39.0000000,        634248.184864,       3369029.000000
      39.0000000,        634275.562752,       3369054.000000
      39.0000000,        634294.220474,       3369078.999878
      39.0000000,        634308.753738,       3369104.000000
      39.0000000,        634322.827835,       3369129.000000
